Month,Revenue,COGS,Operating_Expenses,Gross_Profit,Net_Profit,Budget_Revenue,Cash_Flow
2022-01-01,480944.97,294225.08,142883.02,186719.89,43836.87,522280.26,46467.2
2022-02-01,533393.81,331625.57,120987.48,201768.24,80780.76,569682.78,73509.73
2022-03-01,545686.04,339624.99,127521.0,206061.05,78540.06,592065.1,66754.87
2022-04-01,563733.4,335693.79,149652.09,228039.62,78387.52,599767.04,81167.29
2022-05-01,565228.67,315206.31,129318.24,250022.36,120704.12,551875.31,102470.9
2022-06-01,591130.97,326068.93,149518.46,265062.04,115543.58,543246.39,103682.21
2022-07-01,535569.36,340639.46,120342.04,194929.9,74587.86,563625.13,64902.28
2022-08-01,550929.69,308497.13,160150.19,242432.56,82282.36,589567.0,70926.06
2022-09-01,530469.2,325389.64,135886.28,205079.56,69193.28,527665.03,81360.64
2022-10-01,517209.8,327725.7,126828.03,189484.11,62656.08,533112.0,68163.81
2022-11-01,525506.84,304034.77,111694.43,221472.07,109777.64,574914.0,119029.9
2022-12-01,534199.34,313126.25,153596.88,221073.09,67476.21,532841.94,70648.63
2023-01-01,589204.02,327274.86,119936.88,261929.17,141992.29,615272.5,149647.12
2023-02-01,631641.84,396755.5,170013.78,234886.34,64872.57,596469.92,74188.91
2023-03-01,645085.86,361195.24,180000.02,283890.63,103890.61,666987.05,117303.13
2023-04-01,663380.56,420135.92,153282.95,243244.64,89961.68,690216.42,84309.67
2023-05-01,669549.67,398676.94,151001.32,270872.73,119871.42,679288.97,100527.8
2023-06-01,656591.5,364080.17,168702.25,292511.33,123809.08,684422.59,101986.74
2023-07-01,655045.46,415447.08,180908.47,239598.38,58689.91,600820.87,70302.13
2023-08-01,618785.44,392136.79,168338.99,226648.65,58309.66,588986.94,65020.77
2023-09-01,618332.94,370042.51,175772.56,248290.42,72517.86,567244.27,63892.44
2023-10-01,585388.2,347448.26,156503.87,237939.94,81436.07,624557.79,75941.94
2023-11-01,593384.22,380342.29,163421.24,213041.93,49620.69,582795.55,51419.25
2023-12-01,621005.68,356757.0,134546.35,264248.68,129702.33,647837.19,137754.26
2024-01-01,675143.05,433415.26,158340.52,241727.79,83387.27,685055.78,79440.94
2024-02-01,732619.86,422896.35,152652.73,309723.52,157070.78,670833.05,158408.35
2024-03-01,753374.03,459254.13,206704.74,294119.9,87415.16,719420.34,96365.27
2024-04-01,760435.45,442116.11,173859.78,318319.35,144459.57,822608.99,137089.44
2024-05-01,770370.82,472784.2,191836.58,297586.62,105750.04,811425.23,87080.53
2024-06-01,739633.07,446124.62,179520.92,293508.45,113987.53,699620.62,128951.0
2024-07-01,727766.63,421631.71,210192.54,306134.92,95942.38,764369.81,81753.42
2024-08-01,705988.66,393391.99,154856.28,312596.67,157740.39,721505.76,129961.95
2024-09-01,693291.3,440091.49,200854.63,253199.81,52345.18,720817.68,45628.44
2024-10-01,665986.85,392802.4,175045.79,273184.45,98138.66,652431.51,96510.59
2024-11-01,697013.17,439554.52,163194.64,257458.64,94264.01,648853.8,109521.62
2024-12-01,711927.49,446713.74,165603.98,265213.75,99609.78,714071.05,90187.01
